Tahun;Batu Bara;Bauksit;Nikel;Emas;Perak;Granit;Pasir Besi;Konsentrat Tin;Konsentrat Tembaga
1996;50332047;841976;3426867;83564;255404;4827058;425101;52304;1758910
1997;55982040;808749;2829936;86928;249392;8824088;516403;54521;1817880
1998;58504660;1055647;2736640;123862;383191;9662649;509978;53960;2640040
1999;62108239;1116323;2798449;127768;361377;8720155;502198;49708;2645180
2000;67105675;1150776;2434585;109612;310430;5941370;420418;56360;3270335
2001;71072961;1237006;2473825;148528;333561;3976274;440648;69494;2418110
2002;105539301;1283485;2120582;140246;281903;3975434;190946;88142;2851190
2003;113525813;1262705;2499728;138475;272050;3938915;245911;74316;3238306
2004;128479707;1331519;2105957;86855;255053;4035040;79635;73080;2812664
2005;149665233;1441899;3790896;142894;326993;4302849;87940;78404;3553808
