Tahun;Batu Bara;Bauksit;Nikel
1996;50332047;841976;3426867
1997;55982040;808749;2829936
1998;58504660;1055647;2736640
1999;62108239;1116323;2798449
2000;67105675;1150776;2434585
2001;71072961;1237006;2473825
2002;105539301;1283485;2120582
2003;113525813;1262705;2499728
2004;128479707;1331519;2105957
2005;149665233;1441899;3790896
2006;162294657;2117630;3869883
2007;188663068;1251147;7112870
2008;178930188;1152322;6571764
2009;228806887;935211;5819565
2010;325325793;2200000;9475362
2011;415765068;0;41193335
2012;466307241;24714940;47106534
2013;458462513;0;65047388
2014;435742874;0;39034912
2015;405871432;2539274;34063566
